uid;cardNumber;state;cardType
04FB071AE66C84;M0066;active;Militar
048A991AE66C80;M0067;active;Militar
043D8D1AE66C80;M0068;active;Militar
04029F1AE66C81;M0069;active;Militar
047AA91AE66C80;M0070;active;Militar
0410C31AE66C81;M0071;active;Militar
043AE81AE66C81;M0072;active;Militar
04B9A91AE66C80;M0073;active;Militar
048BA91AE66C81;M0074;active;Militar
0453991AE66C80;M0075;active;Militar
0439E81AE66C81;M0076;active;Militar
0467991AE66C80;M0077;active;Militar
0438E61AE66C80;M0078;active;Militar
04EFF61AE66C80;M0079;active;Militar
04F98E1AE66C80;M0080;active;Militar
040DA01AE66C80;M0081;active;Militar
0439A91AE66C81;M0082;active;Militar
044DF51AE66C81;M0083;active;Militar
04C0A91AE66C80;M0084;active;Militar
04BBF21AE66C80;M0085;active;Militar
0420071AE66C85;M0086;active;Militar
041CA01AE66C80;M0087;active;Militar
04DDC31AE66C80;M0088;active;Militar
040E071AE66C85;M0089;active;Militar
045DE81AE66C81;M0090;active;Militar
04F9F21AE66C80;M0091;active;Militar
0439E21AE66C80;M0092;active;Militar
0412F61AE66C81;M0093;active;Militar
043EE51AE66C80;M0094;active;Militar
043C8E1AE66C81;M0095;active;Militar
041AFD1AE66C81;M0096;active;Militar
04B19F1AE66C80;M0097;active;Militar
04C5F21AE66C80;M0098;active;Militar
04AC9A1AE66C80;M0099;active;Militar
0453CA1AE66C81;M0100;active;Militar
0482A91AE66C80;M0101;active;Militar
043EE21AE66C80;M0102;active;Militar
04559E1AE66C80;M0103;active;Militar
04DD9F1AE66C80;M0104;active;Militar
0464E21AE66C80;M0105;active;Militar
04D39A1AE66C80;M0106;active;Militar
0424F21AE66C81;M0107;active;Militar
04469E1AE66C80;M0108;active;Militar
0413F41AE66C81;M0109;active;Militar
0478A91AE66C80;M0110;active;Militar
0475E61AE66C80;M0111;active;Militar
0447CA1AE66C81;M0112;active;Militar
0453E61AE66C80;M0113;active;Militar
04099F1AE66C81;M0114;active;Militar
04AA9A1AE66C80;M0115;active;Militar
045FCB1AE66C81;M0116;active;Militar
040CC31AE66C81;M0117;active;Militar
040B8E1AE66C81;M0118;active;Militar
04148D1AE66C80;M0119;active;Militar
0470CB1AE66C81;M0120;active;Militar
04F9F61AE66C80;M0121;active;Militar
04B79A1AE66C80;M0122;active;Militar
0420061AE66C85;M0123;active;Militar
04E0F61AE66C80;M0124;active;Militar
043DE81AE66C81;M0125;active;Militar
04FF9F1AE66C80;M0126;active;Militar
0426F41AE66C81;M0127;active;Militar
04E3F61AE66C80;M0128;active;Militar
0471E21AE66C80;M0129;active;Militar
0452A91AE66C81;M0130;active;Militar
0458991AE66C80;M0131;active;Militar
043D9E1AE66C80;M0132;active;Militar
044DF61AE66C80;M0133;active;Militar
041CF61AE66C81;M0134;active;Militar
043E9E1AE66C80;M0135;active;Militar
041D071AE66C85;M0136;active;Militar
0494A91AE66C80;M0137;active;Militar
047BA91AE66C80;M0138;active;Militar
040E9F1AE66C81;M0139;active;Militar
048FA91AE66C80;M0140;active;Militar
04F49A1AE66C80;M0141;active;Militar
04B2A91AE66C80;M0142;active;Militar
0495A91AE66C80;M0143;active;Militar
04659E1AE66C80;M0144;active;Militar
0489991AE66C80;M0145;active;Militar
046CCA1AE66C81;M0146;active;Militar
044BF61AE66C80;M0147;active;Militar
04E69F1AE66C80;M0148;active;Militar
04F09F1AE66C80;M0149;active;Militar
04B6A91AE66C80;M0150;active;Militar
04349E1AE66C80;M0151;active;Militar
04CC9F1AE66C80;M0152;active;Militar
04F59F1AE66C80;M0153;active;Militar
04D8FD1AE66C80;M0154;active;Militar
04E99F1AE66C80;M0155;active;Militar
041CF41AE66C81;M0156;active;Militar
044D8D1AE66C80;M0157;active;Militar
0476A91AE66C80;M0158;active;Militar
04029A1AE66C81;M0159;active;Militar
045AE21AE66C80;M0160;active;Militar
042E8E1AE66C81;M0161;active;Militar
04C8FD1AE66C80;M0162;active;Militar
047CF51AE66C80;M0163;active;Militar
046DE61AE66C80;M0164;active;Militar
041EFD1AE66C81;M0165;active;Militar
044EE21AE66C80;M0166;active;Militar
0439F61AE66C81;M0167;active;Militar
0437A91AE66C81;M0168;active;Militar
0443F41AE66C81;M0169;active;Militar
0423F41AE66C81;M0170;active;Militar
04B59F1AE66C80;M0171;active;Militar
04078E1AE66C81;M0172;active;Militar
04FCF41AE66C80;M0173;active;Militar
04B0F21AE66C80;M0174;active;Militar
0422FD1AE66C81;M0175;active;Militar
0478991AE66C80;M0176;active;Militar
04ED9A1AE66C80;M0177;active;Militar
0452E21AE66C80;M0178;active;Militar
0449F41AE66C81;M0179;active;Militar
04EEFD1AE66C80;M0180;active;Militar
04A1A91AE66C80;M0181;active;Militar
0473CA1AE66C81;M0182;active;Militar
0414F41AE66C81;M0183;active;Militar
0466F21AE66C80;M0184;active;Militar
04DCFD1AE66C80;M0185;active;Militar
04318E1AE66C81;M0186;active;Militar
04AD9F1AE66C80;M0187;active;Militar
049EA91AE66C80;M0188;active;Militar
04A79A1AE66C80;M0189;active;Militar
04459E1AE66C80;M0190;active;Militar
04E39F1AE66C80;M0191;active;Militar
04F79F1AE66C80;M0192;active;Militar
04DBF61AE66C80;M0193;active;Militar
04448D1AE66C80;M0194;active;Militar
0445E51AE66C80;M0195;active;Militar
044BA91AE66C81;M0196;active;Militar
041D8E1AE66C81;M0197;active;Militar
049EFA1AE66C80;M0198;active;Militar
04429F1AE66C80;M0199;active;Militar
04F9FD1AE66C80;M0200;active;Militar
0432E21AE66C80;M0201;active;Militar
0470A91AE66C80;M0202;active;Militar
04F69A1AE66C80;M0203;active;Militar
044A9E1AE66C80;M0204;active;Militar
04AF9A1AE66C80;M0205;active;Militar
0429F61AE66C81;M0206;active;Militar
0474991AE66C80;M0207;active;Militar
047DF51AE66C80;M0208;active;Militar
0475A91AE66C80;M0209;active;Militar
047DCB1AE66C81;M0210;active;Militar
0455A91AE66C81;M0211;active;Militar
045EA91AE66C81;M0212;active;Militar
044F9E1AE66C80;M0213;active;Militar
0417F61AE66C81;M0214;active;Militar
04FA9F1AE66C80;M0215;active;Militar
046BE21AE66C80;M0216;active;Militar
0484F21AE66C80;M0217;active;Militar
044EA91AE66C81;M0218;active;Militar
04148E1AE66C80;M0219;active;Militar
0427F61AE66C81;M0220;active;Militar
04128D1AE66C80;M0221;active;Militar
04D0FD1AE66C80;M0222;active;Militar
042E8D1AE66C80;M0223;active;Militar
04EF9A1AE66C80;M0224;active;Militar
04949E1AE66C80;M0225;active;Militar
0466CB1AE66C81;M0226;active;Militar
0442991AE66C80;M0227;active;Militar
0459E81AE66C81;M0228;active;Militar
0481A91AE66C81;M0229;active;Militar
04C29A1AE66C80;M0230;active;Militar
041F071AE66C85;M0231;active;Militar
04359E1AE66C80;M0232;active;Militar
041A8E1AE66C81;M0233;active;Militar
0452E81AE66C81;M0234;active;Militar
04399E1AE66C80;M0235;active;Militar
041B8E1AE66C81;M0236;active;Militar
0413C31AE66C81;M0237;active;Militar
04178E1AE66C80;M0238;active;Militar
04399F1AE66C80;M0239;active;Militar
04338E1AE66C81;M0240;active;Militar
044AE21AE66C80;M0241;active;Militar
04809E1AE66C80;M0242;active;Militar
0456991AE66C80;M0243;active;Militar
04E59A1AE66C80;M0244;active;Militar
04A5FA1AE66C80;M0245;active;Militar
04039F1AE66C81;M0246;active;Militar
0468CB1AE66C81;M0247;active;Militar
0470A91AE66C81;M0248;active;Militar
0473F21AE66C80;M0249;active;Militar
04A6F21AE66C80;M0250;active;Militar
046D9E1AE66C80;M0251;active;Militar
046E9E1AE66C80;M0252;active;Militar
04899E1AE66C80;M0253;active;Militar
04489E1AE66C80;M0254;active;Militar
0479E21AE66C80;M0255;active;Militar
04B8F21AE66C80;M0256;active;Militar
04E2FD1AE66C80;M0257;active;Militar
0420F21AE66C81;M0258;active;Militar
04A6FA1AE66C80;M0259;active;Militar
0443E21AE66C80;M0260;active;Militar
04EAF61AE66C80;M0261;active;Militar
04649E1AE66C80;M0262;active;Militar
040C071AE66C85;M0263;active;Militar
041A061AE66C85;M0264;active;Militar
0472E21AE66C80;M0265;active;Militar
04719E1AE66C80;M0266;active;Militar
047C9E1AE66C80;M0267;active;Militar
041BF41AE66C81;M0268;active;Militar
043DE61AE66C80;M0269;active;Militar
04E6F21AE66C80;M0270;active;Militar
04759E1AE66C80;M0271;active;Militar
04FE9A1AE66C80;M0272;active;Militar
0477CA1AE66C81;M0273;active;Militar
0469A91AE66C81;M0274;active;Militar
04679E1AE66C80;M0275;active;Militar
0476CB1AE66C81;M0276;active;Militar
0405FD1AE66C81;M0277;active;Militar
0461CA1AE66C81;M0278;active;Militar
04CEF21AE66C80;M0279;active;Militar
047D9E1AE66C80;M0280;active;Militar
0411F61AE66C81;M0281;active;Militar
0485991AE66C80;M0282;active;Militar
04D59F1AE66C80;M0283;active;Militar
04DAFD1AE66C80;M0284;active;Militar
0464E61AE66C80;M0285;active;Militar
04188E1AE66C81;M0286;active;Militar
04C2F21AE66C80;M0287;active;Militar
0438E21AE66C80;M0288;active;Militar
04D0F21AE66C80;M0289;active;Militar
0481CA1AE66C81;M0290;active;Militar
04B09A1AE66C80;M0291;active;Militar
04A8A91AE66C80;M0292;active;Militar
04CFFD1AE66C80;M0293;active;Militar
040EF61AE66C81;M0294;active;Militar
04228D1AE66C80;M0295;active;Militar
045DA91AE66C80;M0296;active;Militar
041E071AE66C85;M0297;active;Militar
0438991AE66C80;M0298;active;Militar
0474F21AE66C80;M0299;active;Militar
0458E81AE66C81;M0300;active;Militar
04D19F1AE66C80;M0301;active;Militar
041F061AE66C85;M0302;active;Militar
043CE61AE66C80;M0303;active;Militar
04B59A1AE66C80;M0304;active;Militar
047EA91AE66C80;M0305;active;Militar
04FDC31AE66C80;M0306;active;Militar
0470E61AE66C80;M0307;active;Militar
04E8FD1AE66C80;M0308;active;Militar
04ED071AE66C84;M0309;active;Militar
04F5F61AE66C80;M0310;active;Militar
041D9F1AE66C80;M0311;active;Militar
047AA91AE66C81;M0312;active;Militar
04D19A1AE66C80;M0313;active;Militar
04258D1AE66C80;M0314;active;Militar
045CA91AE66C81;M0315;active;Militar
04DDF61AE66C80;M0316;active;Militar
044DE51AE66C80;M0317;active;Militar
0444F41AE66C81;M0318;active;Militar
0491A91AE66C80;M0319;active;Militar
047FA91AE66C81;M0320;active;Militar
04BD9A1AE66C80;M0321;active;Militar
0443E61AE66C80;M0322;active;Militar
046DA91AE66C81;M0323;active;Militar
0437F61AE66C81;M0324;active;Militar
047EE21AE66C80;M0325;active;Militar
049BF21AE66C80;M0326;active;Militar
046AA91AE66C81;M0327;active;Militar
04B09F1AE66C80;M0328;active;Militar
042A8D1AE66C80;M0329;active;Militar
04E29F1AE66C80;M0330;active;Militar
0419F61AE66C81;M0331;active;Militar
0428F41AE66C81;M0332;active;Militar
0430E21AE66C80;M0333;active;Militar
045EA91AE66C80;M0334;active;Militar
04939E1AE66C80;M0335;active;Militar
04F69F1AE66C80;M0336;active;Militar
04D79A1AE66C80;M0337;active;Militar
04218D1AE66C80;M0338;active;Militar
0418F61AE66C81;M0339;active;Militar
0473E21AE66C80;M0340;active;Militar
04D69F1AE66C80;M0341;active;Militar
0411061AE66C85;M0342;active;Militar
0421F61AE66C81;M0343;active;Militar
04069F1AE66C81;M0344;active;Militar
0468F61AE66C80;M0345;active;Militar
04CAC31AE66C80;M0346;active;Militar
0402FD1AE66C81;M0347;active;Militar
04EE9A1AE66C80;M0348;active;Militar
047BCB1AE66C81;M0349;active;Militar
0430E91AE66C81;M0350;active;Militar
045C991AE66C80;M0351;active;Militar
0465991AE66C80;M0352;active;Militar
041E061AE66C85;M0353;active;Militar
046BCB1AE66C81;M0354;active;Militar
04C99A1AE66C80;M0355;active;Militar
043DE21AE66C80;M0356;active;Militar
0444E61AE66C80;M0357;active;Militar
044A991AE66C80;M0358;active;Militar
0467E21AE66C80;M0359;active;Militar
0453E51AE66C80;M0360;active;Militar
04DC9F1AE66C80;M0361;active;Militar
0425061AE66C85;M0362;active;Militar
0408F21AE66C81;M0363;active;Militar
04FB9F1AE66C80;M0364;active;Militar
04118D1AE66C80;M0365;active;Militar
04729E1AE66C80;M0366;active;Militar
04FFC31AE66C80;M0367;active;Militar
04248D1AE66C80;M0368;active;Militar
04A3A91AE66C80;M0369;active;Militar
04509E1AE66C80;M0370;active;Militar
0404F61AE66C81;M0371;active;Militar
04FBF21AE66C80;M0372;active;Militar
0491F21AE66C80;M0373;active;Militar
043F8E1AE66C81;M0374;active;Militar
04F39F1AE66C80;M0375;active;Militar
040E8D1AE66C80;M0376;active;Militar
04D2F21AE66C80;M0377;active;Militar
0472CA1AE66C81;M0378;active;Militar
04F2F61AE66C80;M0379;active;Militar
04B4FA1AE66C80;M0380;active;Militar
041BFD1AE66C81;M0381;active;Militar
0452E91AE66C81;M0382;active;Militar
04D3FD1AE66C80;M0383;active;Militar
048E991AE66C80;M0384;active;Militar
042CE91AE66C81;M0385;active;Militar
049AFA1AE66C80;M0386;active;Militar
04869E1AE66C80;M0387;active;Militar
04F49F1AE66C80;M0388;active;Militar
046C9E1AE66C80;M0389;active;Militar
042AF61AE66C81;M0390;active;Militar
04268E1AE66C81;M0391;active;Militar
0424F61AE66C81;M0392;active;Militar
04EC9F1AE66C80;M0393;active;Militar
0434991AE66C80;M0394;active;Militar
0455E51AE66C80;M0395;active;Militar
0470CA1AE66C81;M0396;active;Militar
04C19F1AE66C80;M0397;active;Militar
0435F61AE66C81;M0398;active;Militar
041BA01AE66C80;M0399;active;Militar
